Dataset Mode,Feature,Value,Count,Percent
gdsc_metadata_only,TARGET,"BRPF1, BRPF2, BRPF3",1434,0.5924762947507591
gdsc_metadata_only,TARGET,CDK9,1432,0.5916499679798376
gdsc_metadata_only,TARGET,"GSK3A, GSK3B",1181,0.48794595822918174
gdsc_metadata_only,TARGET,"Proteasome, CAPN1",969,0.40035532051149625
gdsc_metadata_only,TARGET,"AKT1, AKT2",968,0.3999421571260354
gdsc_metadata_only,TARGET,Antimetabolite (DNA & RNA),968,0.3999421571260354
gdsc_metadata_only,TARGET,Broad spectrum kinase inhibitor,968,0.3999421571260354
gdsc_metadata_only,TARGET,PI3K (class 1),967,0.39952899374057466
gdsc_metadata_only,TARGET,"WEE1, PLK1",967,0.39952899374057466
gdsc_metadata_only,TARGET,"BCL2, BCL-XL, BCL-W",967,0.39952899374057466
gdsc_metadata_only,TARGET,"MET, ALK, ROS1",966,0.3991158303551139
gdsc_metadata_only,TARGET,"EGFR, ERBB2, ERBB3",966,0.3991158303551139
gdsc_metadata_only,TARGET,TP53,966,0.3991158303551139
gdsc_metadata_only,TARGET,"ABL, SRC, Ephrins, PDGFR, KIT",962,0.39746317681327076
gdsc_metadata_only,TARGET,BCL-XL,962,0.39746317681327076
gdsc_metadata_only,TARGET,"CHEK1, CHEK2",961,0.39705001342781
gdsc_metadata_only,TARGET,"PDGFR, KIT, VEGFR",961,0.39705001342781
gdsc_metadata_only,TARGET,Pyrimidine antimetabolite,960,0.3966368500423492
gdsc_metadata_only,TARGET,"HDAC inhibitor Class I, IIa, IIb, IV",959,0.39622368665688845
gdsc_metadata_only,TARGET,"USP7, USP47",958,0.3958105232714277
gdsc_metadata_only,TARGET,"ESR1, ESR2",958,0.3958105232714277
gdsc_metadata_only,TARGET,BIRC5,958,0.3958105232714277
gdsc_metadata_only,TARGET,Anthracycline,958,0.3958105232714277
gdsc_metadata_only,TARGET,RNA helicase A,958,0.3958105232714277
gdsc_metadata_only,TARGET,LRRK2,958,0.3958105232714277
gdsc_metadata_only,TARGET,IDH1 (R132H),958,0.3958105232714277
gdsc_metadata_only,TARGET,"AKT1, AKT, AKT3",958,0.3958105232714277
gdsc_metadata_only,TARGET,"VEGFR, FLT1, FLT2, FLT3, FLT4, KIT, PDGFRB",958,0.3958105232714277
gdsc_metadata_only,TARGET,"PI3Kalpha, PI3Kbeta",958,0.3958105232714277
gdsc_metadata_only,TARGET,"AKT1, AKT2, AKT3, ROCK2",958,0.3958105232714277
gdsc_metadata_only,TARGET,BRD9,958,0.3958105232714277
gdsc_metadata_only,TARGET,BCL2,958,0.3958105232714277
gdsc_metadata_only,TARGET,"PI3Kalpha, PI3Kdelta, PI3Kbeta, PI3Kgamma",958,0.3958105232714277
gdsc_metadata_only,TARGET,"PDGFR, KIT, VEGFR, RAF",958,0.3958105232714277
gdsc_metadata_only,TARGET,"PI3K (class 1), MTORC1, MTORC2",958,0.3958105232714277
gdsc_metadata_only,TARGET,Telomerase,958,0.3958105232714277
gdsc_metadata_only,TARGET,Alkylating agent,957,0.39539735988596686
gdsc_metadata_only,TARGET,"WEE1, CHEK1",957,0.39539735988596686
gdsc_metadata_only,TARGET,"BCL2, BCL-XL,  BCL-W, BCL-B, BFL1",957,0.39539735988596686
gdsc_metadata_only,TARGET,MET,957,0.39539735988596686
gdsc_metadata_only,TARGET,ESR1,957,0.39539735988596686
gdsc_metadata_only,TARGET,Proteasome,957,0.39539735988596686
gdsc_metadata_only,TARGET,NAE,956,0.3949841965005061
gdsc_metadata_only,TARGET,ATM,955,0.3945710331150453
gdsc_metadata_only,TARGET,CDK1,955,0.3945710331150453
gdsc_metadata_only,TARGET,ABL,955,0.3945710331150453
gdsc_metadata_only,TARGET,"p38, JNK2",955,0.3945710331150453
gdsc_metadata_only,TARGET,ERK2,954,0.39415786972958455
gdsc_metadata_only,TARGET,"Amyloid beta20, Amyloid beta40",954,0.39415786972958455
gdsc_metadata_only,TARGET,AKT1,954,0.39415786972958455
gdsc_metadata_only,TARGET,PMRT5,954,0.39415786972958455
gdsc_metadata_only,TARGET,"RSK2, RSK1, RSK3",954,0.39415786972958455
gdsc_metadata_only,TARGET,NTRK1,953,0.3937447063441238
gdsc_metadata_only,TARGET,"MET, KDR, TIE2, VEGFR3/FLT4, RON, PDGFR, FGFR1, EGFR",953,0.3937447063441238
gdsc_metadata_only,TARGET,TERT,952,0.393331542958663
gdsc_metadata_only,TARGET,"CHEK1, CHEK2, CDK2",952,0.393331542958663
gdsc_metadata_only,TARGET,G-quadruplex stabiliser,951,0.3929183795732022
gdsc_metadata_only,TARGET,JNK,950,0.3925052161877414
gdsc_metadata_only,TARGET,MTORC1,950,0.3925052161877414
gdsc_metadata_only,TARGET,"VEGFR, RET, KIT, PDGFR",949,0.39209205280228066
gdsc_metadata_only,TARGET,CRBN,949,0.39209205280228066
gdsc_metadata_only,TARGET,SMO,949,0.39209205280228066
gdsc_metadata_only,TARGET,AURKA,949,0.39209205280228066
